Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,SARES R,145.17,-,0.6,Tone,94.8,88.5,23,NN,FM,5,,SARES Main Repeater,,,,
2,SARES S,145.17,,0,Tone,94.8,88.5,23,NN,FM,5,,SARES Repeater Backup,,,,
3,TAC A,147.405,,0,Tone,94.8,88.5,23,NN,FM,5,,first Tactical,,,,
4,TAC B,146.415,,0,Tone,94.8,88.5,23,NN,FM,5,,second Tactical,,,,
5,TAC C,147.585,,0,Tone,94.8,88.5,23,NN,FM,5,,third Tactical,,,,
6,TAC D,446,,0,Tone,94.8,88.5,23,NN,FM,5,,fourth Tactical,,,,
7,TAC E,446.5,,0,Tone,94.8,88.5,23,NN,FM,5,,fifth Tactical,,,,
8,K6SNY R,443.275,+,5,Tone,107.2,88.5,23,NN,FM,5,,K6SNY Repeater (Cnty Alt),,,,
9,K6SNY S,443.275,,0,Tone,107.2,88.5,23,NN,FM,5,,SARES 440 Rptr Backup,,,,
12,DPS R,444.525,+,5,Tone,94.8,88.5,23,NN,FM,5,,SARES DPS Rptr,,,,
13,DPS S,444.525,,0,Tone,94.8,88.5,23,NN,FM,5,,SARES DPS Rptr,,,,
19,XSCMN R,442.575,+,5,Tone,100,88.5,23,NN,FM,5,,K6FB (Cnty Msg Alt-2),,,,
20,SPECS R,145.27,-,0.6,Tone,100,88.5,23,NN,FM,5,,W6ASH (Cnty N-Rsrc),,,,
21,SPECS S,145.27,,0,Tone,100,88.5,23,NN,FM,5,,SPECS Smplx,,,,
22,SVECS R,146.115,+,0.6,Tone,100,88.5,23,NN,FM,5,,AA6BT (Cnty Pri Rsrc),,,,
23,SVECS S,146.115,,0,Tone,100,88.5,23,NN,FM,5,,SVECS Smplx,,,,
24,XSCMN R,147.36,+,0.6,Tone,110.9,88.5,23,NN,FM,5,,W6TI (Cnty Msg Net),,,,
25,XSCMN S,147.36,,0,Tone,110.9,88.5,23,NN,FM,5,,W6TI Smplx,,,,
26,XSCMA R,145.45,-,0.6,Tone,100,88.5,23,NN,FM,5,,K6FB (Cnty Msg Alt),,,,
27,XSCCN R,442.5,+,5,Tone,100,88.5,23,NN,FM,5,,W6GGF (Cnty Cmnd Net),,,,
28,XSCCN S,442.5,,0,Tone,100,88.5,23,NN,FM,5,,W6GGF Smplx,,,,
29,SNC S,147.51,,0,Tone,100,88.5,23,NN,FM,5,,Santa Clara Smplx,,,,
30,SNC A,146.58,,0,,88.5,88.5,23,NN,FM,5,,Santa Clara Smplx Alt,,,,
31,CUP S,147.57,,0,Tone,151.4,88.5,23,NN,FM,5,,Cupertino Simplex,,,,
32,CUP A,146.46,,0,Tone,151.4,88.5,23,NN,FM,5,,Cupertino Alt,,,,
33,MTV S,146.535,,0,,88.5,88.5,23,NN,FM,5,,Mt. View Simplex,,,,
34,MTV A,147.495,,0,,88.5,88.5,23,NN,FM,5,,Mt. View Simplex Alt,,,,
35,LOS R,145.27,-,0.6,Tone,100,88.5,23,NN,FM,5,,W6ASH (also Cnty N-Rsrc),,,,
36,LOS A,440.8,+,5,Tone,100,88.5,23,NN,FM,5,,W6ASH (Msg Net),,,,
37,LOS S,146.595,,0,,88.5,88.5,23,NN,FM,5,,Los Altos Smplx,,,,
38,HOSP R,145.23,-,0.6,Tone,100,88.5,23,NN,FM,5,,"N6NFI, PAF Cmnd & Hos",,,,
39,XSCRU R,443.275,+,5,Tone,107.2,88.5,23,NN,FM,5,,K6SNY (Cnty S-Rsrc UHF),,,,
40,W1XSC-1,145.75,,0,,88.5,88.5,23,NN,FM,5,,Pri Pkt,,,,
41,W2XSC-1,145.73,,0,,88.5,88.5,23,NN,FM,5,,S Cnty (Crystal Peak),,,,
42,W3XSC-1,144.31,,0,,88.5,88.5,23,NN,FM,5,,Pkt Backup,,,,
43,W4XSC-1,145.69,,0,,88.5,88.5,23,NN,FM,5,,Milpitas (Frazer Peak),,,,
44,K6SNY-1,144.91,,0,,88.5,88.5,23,NN,FM,5,,Sunnyvale,,,,
45,NCALPKT,145.05,,0,,88.5,88.5,23,NN,FM,5,,Packet Keyboard to Keyboard,,,,
46,W1XSC-1,433.57,,0,,88.5,88.5,23,NN,FM,5,,Pri Pkt,,,,
47,W2XSC-1,433.59,,0,,88.5,88.5,23,NN,FM,5,,S Cnty (Crystal Peak),,,,
48,W3XSC-1,433.45,,0,,88.5,88.5,23,NN,FM,5,,Pkt Backup,,,,
49,W4XSC-1,433.55,,0,,88.5,88.5,23,NN,FM,5,,Milpitas (Frazer Peak),,,,
50,W1XSC-1,223.62,,0,,88.5,88.5,23,NN,FM,5,,Packet Operations on 220 reserved for the EOC,,,,
51,W2XSC-1,223.56,,0,,88.5,88.5,23,NN,FM,5,,,,,,
52,W3XSC-1,223.54,,0,,88.5,88.5,23,NN,FM,5,,,,,,
53,W4XSC-1,223.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
